COG,departement,commune,population,Pop_in_QPV_pct,Total_QPV,logements_sociaux_pct,Subventions_parHab,places_migrants_p1k,Total_places_migrants,Number_of_Mosques,Mosque_p100k,Insécurité_Score,Immigration_Score,Islamisation_Score,Défrancisation_Score,Wokisme_Score
22348,22,Trédias,504,0.0,0,1.0,21.2,0.0,0,0,0.0,33,32,17,66,22
22349,22,Trédrez-Locquémeau,1468,0.0,0,4.0,19.9,0.0,0,0,0.0,36,32,17,66,26
22350,22,Tréduder,201,0.0,0,0.0,19.9,0.0,0,0,0.0,14,32,17,66,20
22351,22,Treffrin,524,0.0,0,4.0,33.8,0.0,0,0,0.0,35,32,17,66,31
22352,22,Tréfumel,279,0.0,0,0.0,26.6,0.0,0,0,0.0,28,32,17,66,23
22353,22,Trégastel,2532,0.0,0,7.0,19.9,0.0,0,0,0.0,97,120,17,66,77
22354,22,Tréglamus,1100,0.0,0,4.0,17.9,0.0,0,0,0.0,29,32,17,66,25
22356,22,Trégomeur,947,0.0,0,0.0,20.3,0.0,0,0,0.0,36,32,17,66,21
22358,22,Trégonneau,523,0.0,0,1.0,17.9,0.0,0,0,0.0,28,32,17,66,21
22359,22,Trégrom,447,0.0,0,2.0,19.9,0.0,0,0,0.0,30,32,17,66,23
22360,22,Trégueux,8462,0.0,0,11.0,61.3,0.0,0,0,0.0,80,32,17,66,49
22361,22,Tréguidel,630,0.0,0,0.0,20.3,0.0,0,0,0.0,229,209,17,66,21
22362,22,Tréguier,2349,0.0,0,15.0,19.9,0.0,0,0,0.0,81,32,17,66,40
22363,22,Trélévern,1240,0.0,0,4.0,19.9,0.0,0,0,0.0,35,32,17,66,26
22364,22,Trélivan,2875,0.0,0,10.0,26.6,0.0,0,0,0.0,103,32,17,66,36
22365,22,Trémargat,182,0.0,0,0.0,92.1,0.0,0,0,0.0,28,32,17,66,46
22366,22,Trémel,406,0.0,0,2.0,19.9,0.0,0,0,0.0,34,32,17,66,23
22368,22,Tréméreuc,728,0.0,0,2.0,33.4,0.0,0,0,0.0,32,32,17,66,28
22369,22,Trémeur,806,0.0,0,2.0,23.9,0.0,0,0,0.0,40,32,17,66,25
22370,22,Tréméven,355,0.0,0,1.0,20.3,0.0,0,0,0.0,34,32,17,66,22
22371,22,Trémorel,1154,0.0,0,2.0,0.0,0.0,0,0,0.0,39,32,17,66,16
22372,22,Trémuson,2238,0.0,0,12.0,24.9,0.0,0,0,0.0,40,32,17,66,38
