departement,commune,code postal,adresse,nom,COG,validation,latitude,longitude,confidenceCoordinates
41,Blois,41000,135 rue Michel Begon - 41000 BLOIS,CIMG Blois,41018,exact_match,47.5944155,1.30963844260701,1
41,Blois,41000,avenue de l'Europe - 41000 BLOIS,La grande mosquée de Blois,41018,exact_match,47.5894806574943,1.30391800792325,1
41,Blois,41000,10 rue de la Mare - 41000 BLOIS,Mosquée Sunna,41018,exact_match,47.59256585,1.32233912777404,1
41,Mer,41500,4 Rue de Bellevue - 41500 MER,Mosquée Turque,41136,exact_match,47.704028,1.502433,1
41,Romorantin-Lanthenay,41200,39 rue Hubert Fillay - 41200 ROMORANTIN-LANTHENAY,Mosquée Marocainne de Romorantin,41194,exact_match,47.3428117,1.740376,1
41,Vendôme,41100,"22, rue de La Tuilerie - 41100 VENDOME",Mosquée,41269,exact_match,47.807838,1.068838,1
41,Vendôme,41100,4 Rue Pierre Curie - 41100 VENDÔME,Mosquée Association Musulmane Turque,41269,exact_match,47.807324,1.066385,1
41,Vendôme,41100,20 rue maréchal Rochambeau - 41100 VENDÔME,Mosquée at-tawba,41269,exact_match,47.794268,1.05588,0.81
42,Andrézieux-Bouthéon,42160,26 rue branly - 42160 ANDRÉZIEUX-BOUTHÉON,Mosquée Bayt Allah,42005,exact_match,45.524725,4.277665,0.9
42,Balbigny,42510,"23, rue du Four à Chaux - 42510 BALBIGNY",Mosquée Turque,42011,exact_match,45.818564,4.191964,0.9
42,Le Chambon-Feugerolles,42500,"10, rue des Peupliers - 42500 LE CHAMBON FEUGEROLLES",Mosquée SALAM,42044,exact_match,45.388854,4.317988,1
42,Le Chambon-Feugerolles,42500,3 Allée des Sorbiers 42500 Le Chambon-Feugerolles,Mosquée,42044,exact_match,45.392213,4.323314,0.25
42,Le Chambon-Feugerolles,42500,"02, rue Rémy Moïse - 42500 LE CHAMBON FEUGEROLLES",Mosquée Omar,42044,exact_match,45.401451,4.351282,0.675
42,Feurs,42110,"28, route Valeilles - 42110 FEURS",Mosquée,42094,exact_match,45.73348,4.236245,0.9
42,Firminy,42700,"26, rue de la République - 42700 FIRMINY",Mosquée,42095,exact_match,45.393058,4.293376,1
42,Firminy,42700,"38, rue Dorian - 42700 FIRMINY",Mosquée,42095,exact_match,45.391022,4.275652,1
42,Firminy,42700,"04, rue Limousin - 42700 FIRMINY",Mosquée,42095,exact_match,45.388349,4.288579,0.7875
42,Montbrison,42600,"5, rue du Marché - 42600 MONTBRISON",Mosquée ET-TAKWA,42147,exact_match,45.606826,4.065687,1
42,La Ricamarie,42150,9 rue voltaire - 42150 LA RICAMARIE,Mosquée,42183,exact_match,45.406048,4.368986,1
42,La Ricamarie,42150,"49, rue Paul Langevin - 42150 LA RICAMARIE",Centre Culturel de RICAMARIE,42183,exact_match,45.401336,4.36806,1
42,La Ricamarie,42150,"26, rue Dorian - 42150 LA RICAMARIE",Mosquée,42183,exact_match,45.4055107110365,4.36807920920422,0.5
42,Rive-de-Gier,42800,26 Boulevard des Provinces - 42800 RIVE DE GIER,Mosquée At-TAWBA de Rive de Gier,42186,exact_match,45.5207225,4.597954,1
42,Rive-de-Gier,42800,"18, rue Richarme - 42800 RIVE DE GIER",Mosquée,42186,exact_match,45.5275033,4.6145781,0.9
42,Roanne,42300,"15, rue des Charpentiers - 42300 ROANNE",Mosquée AL-NOUR,42187,exact_match,46.038584,4.0812,1
42,Roanne,42300,"40, rue Pierre Dépierre - 42300 ROANNE",Mosquée EL-MOHSININNE,42187,exact_match,46.031348,4.075758,1
42,Roanne,42300,"115, rue de Clermont - 42300 ROANNE",Mosquée De Roanne,42187,exact_match,46.027012,4.063196,1
42,Saint-Chamond,42400,"12 bis, rue de Saint-Etienne - 42400 SAINT CHAMOND",Mosquée Taqwa,42207,exact_match,45.4720584,4.50511557595468,1
42,Saint-Chamond,42400,21 cours Adrien de Montgolfier - 42400 SAINT CHAMOND,Mosquée,42207,exact_match,45.4715415,4.5103494,1
42,Saint-Chamond,42400,"04, rue Saint Claude - 42400 SAINT CHAMOND",Mosquée,42207,exact_match,45.4717084,4.5090074,0.95
42,Saint-Étienne,42000,62 Rue des Docteurs Henri et Bernard Muller - 42000 SAINT-ETIENNE,Grande Mosquée Mohamed VI de Saint Etienne,42218,"multiple_matches,selected_Saint-Étienne(DATE_FIN:9999-12-31)",45.4506275,4.3987722,1
42,Saint-Étienne,42000,"29, rue Charles Gounod - 42000 SAINT-ETIENNE",Mosquée de Montreynaud,42218,"multiple_matches,selected_Saint-Étienne(DATE_FIN:9999-12-31)",45.471385,4.4032022,1
42,Saint-Étienne,42000,"15, rue saint-Just - 42000 SAINT-ETIENNE",Mosquée Diyanet,42218,"multiple_matches,selected_Saint-Étienne(DATE_FIN:9999-12-31)",45.4401649,4.3772963,1
42,Saint-Étienne,42000,12 Rue Calixte Plotton - 42000 SAINT-ETIENNE,Mosquée El Fatah,42218,"multiple_matches,selected_Saint-Étienne(DATE_FIN:9999-12-31)",45.43504605,4.37555558793693,1
42,Saint-Étienne,42000,"24, rue Vaillant Couturier - 42000 SAINT ETIENNE",Mosquée,42218,"multiple_matches,selected_Saint-Étienne(DATE_FIN:9999-12-31)",45.4329155,4.3821213,1
42,Saint-Étienne,42000,"2, rue Saint-Just - 42000 SAINT ETIENNE",Mosquée,42218,"multiple_matches,selected_Saint-Étienne(DATE_FIN:9999-12-31)",45.439895,4.378003,1
42,Saint-Étienne,42000,58 rue Balay - 42000 SAINT ETIENNE,Mosquée,42218,"multiple_matches,selected_Saint-Étienne(DATE_FIN:9999-12-31)",45.446704,4.3858665,1
42,Saint-Étienne,42100,8 Rue de la Vierge - 42100 SAINT-ETIENNE,Association Culturelle Islamique de la Loire,42218,"multiple_matches,selected_Saint-Étienne(DATE_FIN:9999-12-31)",45.424821,4.383366,1
42,Saint-Étienne,42000,53 Rue Molina - 42000 SAINT-ETIENNE,Salle de prière,42218,"multiple_matches,selected_Saint-Étienne(DATE_FIN:9999-12-31)",45.465816,4.401403,0.9
42,Saint-Étienne,42000,"73, rue Louis Saoulié - 42000 SAINT ETIENNE",Mosquée,42218,"multiple_matches,selected_Saint-Étienne(DATE_FIN:9999-12-31)",45.4482,4.401525,0.771428571428571
42,Saint-Étienne,42000,"33, rue Neyron - 42000 SAINT ETIENNE",Mosquée TAWBA,42218,"multiple_matches,selected_Saint-Étienne(DATE_FIN:9999-12-31)",45.4417211,4.3961952,0.75
42,Saint-Étienne,42100,3 Rue des Ferrandiniers - 42100 SAINT-ETIENNE,Association Bilal,42218,"multiple_matches,selected_Saint-Étienne(DATE_FIN:9999-12-31)",45.4272734,4.3834899,0.75
42,Saint-Étienne,42000,"04, rue Félix Piat - 42000 SAINT ETIENNE",Mosquée ER-Rahma,42218,"multiple_matches,selected_Saint-Étienne(DATE_FIN:9999-12-31)",45.434947,4.382333,0.64125
42,Saint-Étienne,42100,"19/21, rue Joseph Pupier - 42100 SAINT ETIENNE",Mosquée AL-HOUDA,42218,"multiple_matches,selected_Saint-Étienne(DATE_FIN:9999-12-31)",45.4169097095972,4.39474939104437,0.5
42,Saint-Étienne,42000,"03, impasse de la Paix - 42000 SAINT ETIENNE",Mosquée,42218,"multiple_matches,selected_Saint-Étienne(DATE_FIN:9999-12-31)",45.4390236304739,4.38057461151807,0.5
42,Saint-Étienne,42000,"33, Impasse de la Roche du Geai - 42000 SAINT ETIENNE",Mosquée,42218,"multiple_matches,selected_Saint-Étienne(DATE_FIN:9999-12-31)",45.4415160545269,4.36556157746318,0.5
