Type,Code,Français,Etrangers,Ensemble,Français de naissance,Français par acquisition,Portugais,Italiens,Espagnols,Autres nationalités de l'UE,Autres nationalités d'Europe,Algériens,Marocains,Tunisiens,Autres nationalités d'Afrique,Turcs,Autres nationalités
dept-,26,435692,21450,457144,419701,15991,1957,1231,1271,3778,1482,2429,3331,1359,1422,1319,1871
dept,25,514310,34353,548662,489772,24538,3104,2315,975,1717,5947,4473,3571,887,4280,3151,3933
dept-,25,407426,21181,428605,390254,17172,2626,1876,781,1245,3882,2769,2459,344,1316,2526,1357
dept,24,392981,23342,416325,383379,9602,3028,425,634,4987,8099,503,1590,162,1564,277,2073
dept,23,110053,5475,115529,108136,1917,315,83,72,1107,2299,92,116,21,600,305,465
dept,22,590774,18824,609598,582458,8316,1574,386,300,4110,4884,521,736,388,3484,413,2028
dept,21,506791,30787,537577,487880,18911,3205,1491,1107,2230,3538,2625,4409,649,6206,794,4533
dept-,21,363301,14336,377636,351348,11953,2135,779,693,1365,1737,1112,1939,247,1974,630,1725
dept,19,229328,10793,240120,222474,6854,2152,330,361,1527,1542,385,1296,165,1008,1001,1026
dept,18,286097,13398,299496,277587,8510,2178,388,459,1183,978,1154,1184,558,2385,740,2191
dept-,18,227733,7523,235258,222040,5693,1782,263,312,994,621,519,540,317,846,465,864
dept,17,649773,18388,668160,638346,11427,2478,432,566,2995,3522,702,1378,437,2731,463,2684
dept-,17,575113,13085,588199,566188,8925,2008,292,453,2680,3094,385,596,241,1523,269,1544
dept,16,333845,17757,351603,326494,7351,1620,232,409,2249,6764,902,967,431,2240,194,1749
dept,15,141166,3234,144399,139666,1500,330,43,78,566,449,145,162,80,473,27,881
dept,14,683146,21459,704605,669442,13704,1052,578,420,2113,2745,1848,1426,814,5087,892,4484
dept-,14,584006,12201,596207,573712,10294,799,381,249,1770,1881,934,777,471,2251,645,2043
dept,13,1901465,168347,2069811,1788354,113111,8368,7524,6051,13419,7352,43698,17137,12123,26106,7649,18920
